,book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
book_id,1.0,0.12,0.1,0.11,-0.26,-0.01,0.05,-0.04,-0.37,-0.38,-0.42,-0.24,-0.35,-0.41,-0.41,-0.33
goodreads_book_id,0.12,1.0,0.97,0.93,-0.16,-0.05,0.13,-0.02,-0.07,-0.06,0.12,-0.04,-0.06,-0.08,-0.06,-0.06
best_book_id,0.1,0.97,1.0,0.9,-0.16,-0.05,0.13,-0.02,-0.07,-0.06,0.13,-0.03,-0.05,-0.07,-0.05,-0.05
work_id,0.11,0.93,0.9,1.0,-0.11,-0.04,0.11,-0.02,-0.06,-0.05,0.1,-0.03,-0.05,-0.07,-0.05,-0.05
books_count,-0.26,-0.16,-0.16,-0.11,1.0,0.02,-0.32,-0.07,0.32,0.33,0.2,0.23,0.33,0.38,0.35,0.28
isbn13,-0.01,-0.05,-0.05,-0.04,0.02,1.0,-0.0,-0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
original_publication_year,0.05,0.13,0.13,0.11,-0.32,-0.0,1.0,0.02,-0.02,-0.03,0.03,-0.02,-0.04,-0.04,-0.03,-0.02
average_rating,-0.04,-0.02,-0.02,-0.02,-0.07,-0.03,0.02,1.0,0.04,0.05,0.01,-0.08,-0.12,-0.07,0.04,0.12
ratings_count,-0.37,-0.07,-0.07,-0.06,0.32,0.01,-0.02,0.04,1.0,1.0,0.78,0.72,0.85,0.94,0.98,0.96
work_ratings_count,-0.38,-0.06,-0.06,-0.05,0.33,0.01,-0.03,0.05,1.0,1.0,0.81,0.72,0.85,0.94,0.99,0.97
work_text_reviews_count,-0.42,0.12,0.13,0.1,0.2,0.01,0.03,0.01,0.78,0.81,1.0,0.57,0.7,0.76,0.82,0.76
ratings_1,-0.24,-0.04,-0.03,-0.03,0.23,0.01,-0.02,-0.08,0.72,0.72,0.57,1.0,0.93,0.8,0.67,0.6
ratings_2,-0.35,-0.06,-0.05,-0.05,0.33,0.01,-0.04,-0.12,0.85,0.85,0.7,0.93,1.0,0.95,0.84,0.71
ratings_3,-0.41,-0.08,-0.07,-0.07,0.38,0.01,-0.04,-0.07,0.94,0.94,0.76,0.8,0.95,1.0,0.95,0.83
ratings_4,-0.41,-0.06,-0.05,-0.05,0.35,0.01,-0.03,0.04,0.98,0.99,0.82,0.67,0.84,0.95,1.0,0.93
ratings_5,-0.33,-0.06,-0.05,-0.05,0.28,0.01,-0.02,0.12,0.96,0.97,0.76,0.6,0.71,0.83,0.93,1.0
